number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;garbage chute;type of house;district;street;concierge;distance;price for metre;district population;green rate;repair rate;bathroom rate;terrace rate;age
1;31.0;2;1;1500000.0;косметический;совмещенный;нет;1957;0;0;кирпичный;р-н Свердловский;улица Кузбасская, 41;0;5521.661083185583;74318.1778421745;218220;2;1;1;0;64
1;35.0;25;5;3700000.0;евро;совмещенный;лоджия;2021;2;0;монолитный;р-н Индустриальный;улица Карпинского, 14;1;2317.5242309987857;78168.86137903988;169613;3;2;1;2;0
4;80.0;16;4;5500000.0;требует ремонта;раздельный;балкон;1989;1;0;панельный;р-н Свердловский;улица Куйбышева, 99;1;2651.3063417481803;74318.1778421745;218220;2;0;2;1;32
1;31.0;5;1;2390000.0;косметический;совмещенный;нет;1963;0;0;панельный;р-н Индустриальный;улица Баумана, 21А;0;3639.8373008771696;78168.86137903988;169613;3;1;1;0;58
2;47.0;9;7;3200000.0;требует ремонта;совмещенный;лоджия;1985;1;1;кирпичный;р-н Свердловский;улица Гусарова, 7;0;4968.514957943309;74318.1778421745;218220;2;0;1;2;36
2;49.0;9;9;2900000.0;косметический;раздельный;лоджия;1979;1;1;кирпичный;р-н Дзержинский;улица Ветлужская, 58;0;8575.433729566143;76055.00621772064;166466;5;1;2;2;42
3;58.0;5;4;3500000.0;требует ремонта;раздельный;балкон;1973;0;0;кирпичный;р-н Свердловский;улица Чернышевского, 25;0;2808.87827511147;74318.1778421745;218220;2;0;2;1;48
1;35.0;6;4;2800000.0;косметический;совмещенный;балкон;2016;1;0;кирпичный;р-н Мотовилихинский;улица Лядовская, 127А;0;8417.982392982041;69325.50503743357;193639;4;1;1;1;5
2;46.0;5;1;3499000.0;евро;раздельный;балкон;1971;0;0;панельный;р-н Индустриальный;улица Чердынская, 8;0;5121.909724362784;78168.86137903988;169613;3;2;2;1;50
1;38.0;7;4;2999000.0;евро;раздельный;лоджия;2007;1;1;панельный;р-н Дзержинский;улица Транспортная, 11;1;5799.935897546818;76055.00621772064;166466;5;2;2;2;14
2;45.0;5;5;2200000.0;евро;совмещенный;балкон;1978;0;0;панельный;р-н Орджоникидзевский;улица Уссурийская, 19;0;14039.29234579113;53809.059009550336;115722;4;2;1;1;43
3;56.0;3;1;2350000.0;евро;совмещенный;балкон;1961;0;0;кирпичный;р-н Кировский;улица Фадеева, 10;0;22483.8351385462;62889.363336951275;130798;5;2;1;1;60
1;29.0;5;1;2200000.0;косметический;совмещенный;нет;1973;0;0;кирпичный;р-н Мотовилихинский;улица Макаренко, 8;0;4595.150037303006;69325.50503743357;193639;4;1;1;0;48
2;44.0;9;9;3970000.0;косметический;раздельный;балкон;1976;1;1;панельный;р-н Ленинский;улица Пушкина, 23;0;1383.0035030216693;85854.45308674303;54741;4;1;2;1;45
2;68.0;10;4;5000000.0;евро;раздельный;лоджия;1998;1;0;панельный;р-н Кировский;улица Кировоградская, 12;0;16395.262536366405;62889.363336951275;130798;5;2;2;2;23
2;42.0;5;1;2100000.0;требует ремонта;совмещенный;нет;1960;0;0;кирпичный;р-н Кировский;улица Липатова, 13;0;15379.720814047723;62889.363336951275;130798;5;0;1;0;61
2;42.0;5;1;2100000.0;требует ремонта;совмещенный;нет;1960;0;0;кирпичный;р-н Кировский;улица Липатова, 13;0;15379.720814047723;62889.363336951275;130798;5;0;1;0;61
3;61.0;9;5;3650000.0;косметический;раздельный;лоджия;1984;1;1;панельный;р-н Мотовилихинский;улица Старцева, 11;0;5277.738890691214;69325.50503743357;193639;4;1;2;2;37
3;72.0;11;5;5200000.0;евро;раздельный;лоджия;2003;1;1;панельный;р-н Мотовилихинский;улица КИМ, 49;0;4825.931937016953;69325.50503743357;193639;4;2;2;2;18
1;38.0;7;4;2999000.0;евро;раздельный;лоджия;2007;1;1;панельный;р-н Дзержинский;улица Транспортная, 11;1;5799.935897546818;76055.00621772064;166466;5;2;2;2;14
2;68.0;25;18;4450000.0;косметический;совмещенный;лоджия;2016;2;0;монолитный;р-н Мотовилихинский;улица Грибоедова, 74;1;6016.313504513451;69325.50503743357;193639;4;1;1;2;5
4;76.0;10;10;5750000.0;косметический;раздельный;лоджия;1992;1;0;кирпичный;р-н Индустриальный;улица Советской Армии, 49;0;3936.1999337167495;78168.86137903988;169613;3;1;2;2;29
2;49.0;12;10;3650000.0;косметический;раздельный;лоджия;1979;1;1;панельный;р-н Дзержинский;Парковый проспект, 30/1;0;4414.190587043704;76055.00621772064;166466;5;1;2;2;42
2;60.0;4;2;4800000.0;требует ремонта;совмещенный;лоджия;2017;0;0;кирпичный;р-н Кировский;улица Кировоградская, 180В;1;12928.566616594062;62889.363336951275;130798;5;0;1;2;4
3;65.0;9;4;5760000.0;евро;раздельный;балкон;1986;1;0;панельный;р-н Свердловский;улица Народовольческая, 37;0;2963.715137839874;74318.1778421745;218220;2;2;2;1;35
2;48.0;9;2;2899000.0;требует ремонта;раздельный;лоджия;1979;1;1;кирпичный;р-н Дзержинский;улица Ветлужская, 58;0;8575.433729566143;76055.00621772064;166466;5;0;2;2;42
1;16.0;5;1;1100000.0;косметический;совмещенный;нет;1982;0;0;кирпичный;р-н Мотовилихинский;улица КИМ, 91;1;3985.794633962786;69325.50503743357;193639;4;1;1;0;39
3;58.0;5;1;3400000.0;косметический;раздельный;нет;1981;0;0;панельный;р-н Кировский;улица Адмирала Ушакова, 57/1;0;12987.95149103244;62889.363336951275;130798;5;1;2;0;40
2;56.0;14;9;3850000.0;требует ремонта;раздельный;лоджия;1975;1;1;кирпичный;р-н Дзержинский;улица Плеханова, 63А;1;1663.0681098936077;76055.00621772064;166466;5;0;2;2;46
2;46.0;3;3;2200000.0;косметический;совмещенный;балкон;1969;0;0;кирпичный;р-н Дзержинский;улица Марии Загуменных, 14;0;8223.086854539477;76055.00621772064;166466;5;1;1;1;52
2;54.0;9;5;3900000.0;косметический;совмещенный;лоджия;1977;1;1;кирпичный;р-н Ленинский;улица Пермская, 126;0;480.774096271146;85854.45308674303;54741;4;1;1;2;44
2;54.0;16;1;3390000.0;косметический;раздельный;лоджия;2000;1;1;панельный;р-н Мотовилихинский;бульвар Гагарина, 70А;1;3968.065020718888;69325.50503743357;193639;4;1;2;2;21
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.724156911036;74318.1778421745;218220;2;1;1;2;2
2;52.0;10;2;4500000.0;косметический;раздельный;лоджия;1992;1;0;кирпичный;р-н Индустриальный;улица Советской Армии, 49;0;3936.1999337167495;78168.86137903988;169613;3;1;2;2;29
2;54.0;16;10;5400000.0;евро;раздельный;лоджия;2016;2;1;монолитный;р-н Дзержинский;улица Челюскинцев, 2А;1;1790.0686541130856;76055.00621772064;166466;5;2;2;2;5
1;31.0;6;6;3150000.0;косметический;совмещенный;балкон;2021;1;0;кирпичный;р-н Свердловский;улица Лукоянова, 31;1;5612.100706933881;74318.1778421745;218220;2;1;1;1;0
1;32.0;5;3;3000000.0;требует ремонта;совмещенный;нет;1959;0;0;кирпичный;р-н Свердловский;улица Героев Хасана, 15;0;3022.561112695899;74318.1778421745;218220;2;0;1;0;62
2;44.0;5;4;3190000.0;косметический;раздельный;балкон;1970;0;0;панельный;р-н Индустриальный;улица Чердынская, 29;0;5708.206890801354;78168.86137903988;169613;3;1;2;1;51
3;61.0;5;5;5090000.0;косметический;раздельный;балкон;1972;0;0;кирпичный;р-н Ленинский;улица Ленина, 72А;0;247.9694406257232;85854.45308674303;54741;4;1;2;1;49
4;85.0;9;9;4300000.0;косметический;раздельный;балкон;1988;4;1;панельный;р-н Мотовилихинский;улица Уинская, 18;0;4893.885853700741;69325.50503743357;193639;4;1;2;1;33
3;68.0;9;1;3200000.0;косметический;раздельный;нет;1999;1;1;панельный;р-н Мотовилихинский;улица Сигаева, 12;0;8889.442621556414;69325.50503743357;193639;4;1;2;0;22
3;67.0;10;3;3550000.0;требует ремонта;раздельный;лоджия;1989;2;1;панельный;р-н Кировский;улица Танцорова, 33;0;11941.60043477238;62889.363336951275;130798;5;0;2;2;32
1;35.0;2;2;1850000.0;косметический;совмещенный;нет;1958;0;0;кирпичный;р-н Свердловский;улица Анвара Гатауллина, 15;0;5394.93240493503;74318.1778421745;218220;2;1;1;0;63
3;67.0;10;5;3450000.0;косметический;раздельный;балкон;1991;1;1;панельный;р-н Мотовилихинский;улица Евгения Пермяка, 1А;0;9079.81095116072;69325.50503743357;193639;4;1;2;1;30
1;29.0;12;4;3200000.0;дизайнерский;совмещенный;лоджия;2017;1;0;монолитный;р-н Индустриальный;улица Космонавта Беляева, 9А;1;4568.255584210451;78168.86137903988;169613;3;3;1;2;4
1;24.0;27;13;2000000.0;евро;совмещенный;балкон;2018;2;0;монолитный;р-н Орджоникидзевский;улица Вильямса, 51А;1;11124.930568592496;53809.059009550336;115722;4;2;1;1;3
3;60.0;9;3;3600000.0;косметический;раздельный;лоджия;1980;1;0;панельный;р-н Кировский;улица Магистральная, 104/1;0;14811.404986995112;62889.363336951275;130798;5;1;2;2;41
1;23.0;5;2;2050000.0;евро;совмещенный;нет;1970;0;0;кирпичный;р-н Ленинский;улица Пушкина, 108;1;912.1953815960628;85854.45308674303;54741;4;2;1;0;51
2;45.0;5;5;3300000.0;косметический;совмещенный;лоджия;1985;0;0;панельный;р-н Мотовилихинский;улица Крупской, 85;0;4509.201727443916;69325.50503743357;193639;4;1;1;2;36
1;39.0;10;9;2100000.0;косметический;раздельный;лоджия;2011;1;1;панельный;р-н Орджоникидзевский;улица Генерала Черняховского, 57;0;13908.766543611704;53809.059009550336;115722;4;1;2;2;10
3;61.0;5;1;2980000.0;косметический;раздельный;нет;1977;0;0;панельный;р-н Кировский;улица Полтавская, 8;0;17263.638492674272;62889.363336951275;130798;5;1;2;0;44
1;39.0;4;1;3200000.0;требует ремонта;совмещенный;лоджия;2017;0;0;кирпичный;р-н Кировский;улица Кировоградская, 180Б;1;12958.959473882738;62889.363336951275;130798;5;0;1;2;4
1;44.0;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2;0;монолитный;р-н Свердловский;улица Героев Хасана, 11Б;1;2922.724156911036;74318.1778421745;218220;2;1;1;2;2
1;34.0;9;1;2270000.0;евро;совмещенный;нет;1992;1;1;кирпичный;р-н Индустриальный;проспект Декабристов, 39/2;0;4277.0491137380295;78168.86137903988;169613;3;2;1;0;29
3;59.0;5;4;4700000.0;евро;раздельный;лоджия;1983;0;1;кирпичный;р-н Индустриальный;улица Танкистов, 10;0;2456.217659057953;78168.86137903988;169613;3;2;2;2;38
2;45.0;5;2;2590000.0;косметический;совмещенный;нет;1967;0;0;кирпичный;р-н Свердловский;улица Куйбышева, 169/1;0;5952.517048409784;74318.1778421745;218220;2;1;1;0;54
1;36.0;10;10;3000000.0;косметический;раздельный;лоджия;1993;1;1;панельный;р-н Мотовилихинский;улица Юрша, 23;0;4745.06519972934;69325.50503743357;193639;4;1;2;2;28
1;36.0;10;10;3000000.0;косметический;раздельный;лоджия;1993;1;1;панельный;р-н Мотовилихинский;улица Юрша, 23;0;4745.06519972934;69325.50503743357;193639;4;1;2;2;28
2;43.0;5;4;1750000.0;требует ремонта;раздельный;балкон;1957;0;0;кирпичный;р-н Кировский;улица Воронежская, 20;0;22629.68488413756;62889.363336951275;130798;5;0;2;1;64
2;36.0;9;4;1700000.0;косметический;раздельный;балкон;1986;1;1;блочный;р-н Дзержинский;улица Хабаровская, 173;0;8865.898783166675;76055.00621772064;166466;5;1;2;1;35
3;54.0;4;2;2300000.0;требует ремонта;совмещенный;балкон;1961;0;0;кирпичный;р-н Орджоникидзевский;улица Писарева, 11;0;11666.12406327912;53809.059009550336;115722;4;0;1;1;60
3;52.0;9;3;3450000.0;косметический;совмещенный;лоджия;1970;1;1;панельный;р-н Кировский;улица Маршала Рыбалко, 107Б;0;14706.491740177562;62889.363336951275;130798;5;1;1;2;51
1;34.0;9;3;2000000.0;косметический;совмещенный;лоджия;2008;1;1;панельный;р-н Орджоникидзевский;улица Александра Щербакова, 43;0;16193.817623995908;53809.059009550336;115722;4;1;1;2;13
3;56.0;5;3;3600000.0;косметический;совмещенный;балкон;1964;0;0;панельный;р-н Индустриальный;улица Мира, 66;0;3818.986760737779;78168.86137903988;169613;3;1;1;1;57
2;67.0;4;2;5600000.0;требует ремонта;совмещенный;лоджия;2017;0;0;кирпичный;р-н Кировский;улица Кировоградская, 180В;1;12928.566616594062;62889.363336951275;130798;5;0;1;2;4
1;33.0;5;5;1850000.0;требует ремонта;совмещенный;балкон;1979;0;0;панельный;р-н Кировский;улица Волгодонская, 16;0;12864.120059142117;62889.363336951275;130798;5;0;1;1;42
2;43.0;9;5;3749000.0;косметический;раздельный;лоджия;1985;1;1;панельный;р-н Индустриальный;улица Космонавта Беляева, 48;0;5844.5234379360045;78168.86137903988;169613;3;1;2;2;36
4;59.0;5;5;3200000.0;требует ремонта;раздельный;балкон;1970;0;0;панельный;р-н Индустриальный;улица Чердынская, 29;0;5708.206890801354;78168.86137903988;169613;3;0;2;1;51
1;34.0;10;5;2500000.0;требует ремонта;раздельный;лоджия;1993;1;1;панельный;р-н Дзержинский;улица Красноводская, 24;0;9248.042385374982;76055.00621772064;166466;5;0;2;2;28
2;63.0;5;4;3700000.0;косметический;раздельный;балкон;1956;0;0;кирпичный;р-н Мотовилихинский;улица Крупской, 27;0;3374.4340905539666;69325.50503743357;193639;4;1;2;1;65
1;30.0;5;4;2600000.0;требует ремонта;совмещенный;нет;1963;0;0;кирпичный;р-н Свердловский;улица 1-я, ул.,;0;7047.943120404179;74318.1778421745;218220;2;0;1;0;58
3;71.0;9;9;4400000.0;косметический;раздельный;лоджия;1978;1;1;панельный;р-н Индустриальный;улица Карпинского, 77;0;3565.7110305293904;78168.86137903988;169613;3;1;2;2;43
2;52.0;9;8;3670000.0;косметический;раздельный;балкон;1976;1;0;кирпичный;р-н Дзержинский;улица Челюскинцев, 19;0;2446.0867895307656;76055.00621772064;166466;5;1;2;1;45
2;52.0;10;5;3900000.0;косметический;раздельный;лоджия;1999;4;1;панельный;р-н Дзержинский;улица Куфонина, 22;0;5579.034607030109;76055.00621772064;166466;5;1;2;2;22
2;37.0;3;1;1880000.0;требует ремонта;совмещенный;нет;1961;0;0;кирпичный;р-н Индустриальный;улица Карпинского, 84;0;3883.797341801287;78168.86137903988;169613;3;0;1;0;60
2;41.0;5;3;2650000.0;косметический;совмещенный;балкон;1964;0;0;кирпичный;р-н Свердловский;улица Лодыгина, 31;0;4776.122879309026;74318.1778421745;218220;2;1;1;1;57
