;number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;street;concierge;garbage chute
1447;1;61.6;16;4;4600000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Индустриальный;улица Космонавта Беляева, 8;1;0
1448;2;44.9;3;3;1960000.0;косметический;раздельный;балкон;1958;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Оборонщиков, 3;0;0
1449;3;90.0;25;25;9500000.0;евро;раздельный;лоджия;2011;2.0;монолитный;за шлагбаумом во дворе;р-н Индустриальный;улица Космонавта Беляева, 40Г;1;0
1450;3;54.9;14;10;4649000.0;требует ремонта;раздельный;лоджия;1976;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Екатерининская, 169;1;1
1451;1;34.8;9;9;2800000.0;косметический;раздельный;балкон;1986;1.0;панельный;открытая во дворе;р-н Свердловский;улица Вижайская, 20;0;1
1452;4;105.0;10;5;6400000.0;косметический;раздельный;балкон;1993;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Мира, 115;0;1
1453;3;57.3;5;5;4100000.0;евро;раздельный;балкон;1972;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Петропавловская, 111;0;0
1454;3;86.7;14;7;4990000.0;косметический;раздельный;лоджия;2007;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Ивана Франко, 44;1;1
1455;3;68.8;10;3;4790000.0;евро;раздельный;лоджия;1997;1.0;панельный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Пушкарская, 92;0;0
1456;1;48.0;25;17;4150000.0;евро;совмещенный;лоджия;2011;2.0;монолитный;за шлагбаумом во дворе;р-н Индустриальный;улица Космонавта Беляева, 40В;1;0
1457;1;13.0;9;1;720000.0;косметический;совмещенный;балкон;1981;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Тбилисская, 1А;1;1
1458;3;83.0;17;2;6900000.0;евро;несколько;лоджия;2012;1.0;монолитный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Макаренко, 14А;0;0
1459;1;38.5;10;3;2610000.0;косметический;раздельный;лоджия;2008;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Вагонная, 29;0;0
1460;2;55.8;25;8;4600000.0;косметический;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая;р-н Свердловский;улица Василия Татищева, 8;0;0
1461;3;60.6;9;1;3699999.0;косметический;совмещенный;лоджия;1980;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Аркадия Гайдара, 9А;0;0
1462;1;33.0;5;1;1620000.0;косметический;совмещенный;нет;1974;0.0;панельный;открытая во дворе;р-н Кировский;улица Охотников, 17;0;0
1463;4;77.8;10;4;4200000.0;косметический;раздельный;лоджия;1999;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Свободы, 21;0;1
1464;1;34.0;7;4;2550000.0;косметический;совмещенный;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Красногвардейская, 2;0;0
1465;3;76.7;27;12;6500000.0;евро;несколько;балкон;2014;3.0;панельный;за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Механошина, 15;1;1
1466;3;77.0;18;9;5480000.0;косметический;раздельный;лоджия;2015;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Хабаровская, 54;0;0
1467;1;36.1;2;2;1550000.0;косметический;раздельный;нет;1957;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Новоржевская, 9;0;0
1468;1;34.2;9;5;3200000.0;косметический;раздельный;лоджия;1988;1.0;панельный;за шлагбаумом во дворе;р-н Свердловский;улица Яблочкова, 48;0;1
1469;1;40.3;17;10;2650000.0;косметический;раздельный;лоджия;2014;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Целинная, 43;0;0
1470;3;76.7;25;20;7300000.0;евро;несколько;лоджия;2021;2.0;монолитный;подземная, открытая во дворе;р-н Индустриальный;улица Теплогорская, 24к5;1;0
1471;2;92.2;18;11;10500000.0;дизайнерский;несколько;лоджия;2007;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Свердловский;улица Пушкина, 80;1;1
1472;1;31.6;5;5;1899000.0;косметический;раздельный;балкон;1969;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Адмирала Нахимова, 34;0;0
1473;;;;;;;;;;;;;;;;
1474;;;;;;;;;;;;;;;;
1475;3;77.0;5;2;4550000.0;требует ремонта;раздельный;балкон;1960;0.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Луначарского, 62Б;0;0
1476;1;17.4;5;5;1100000.0;косметический;совмещенный;нет;1971;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Академика Веденеева, 7;1;0
1477;2;54.0;10;7;2700000.0;требует ремонта;раздельный;лоджия;2004;1.0;панельный;открытая во дворе;р-н Кировский;улица Генерала Панфилова, 2;0;1
1478;3;60.5;5;1;3890000.0;косметический;совмещенный;нет;1970;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Фонтанная, 7;0;0
1479;3;42.5;5;5;2840000.0;косметический;совмещенный;балкон;1965;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Мира, 47;0;0
1480;2;55.0;16;1;4900000.0;евро;раздельный;лоджия;2018;1.0;кирпичный;за шлагбаумом во дворе;р-н Индустриальный;улица Веры Засулич, 54;0;0
1481;;;;;;;;;;;;;;;;
1482;;;;;;;;;;;;;;;;
1483;3;60.5;9;6;4600000.0;косметический;раздельный;лоджия;1971;1.0;панельный;открытая во дворе;р-н Ленинский;улица Петропавловская, 79;0;1
1484;1;71.6;18;18;8500000.0;косметический;совмещенный;лоджия;2005;2.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;бульвар Гагарина, 26;1;0
1485;1;34.0;10;5;3200000.0;косметический;раздельный;лоджия;2005;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;проспект Декабристов, 23;0;0
1486;3;116.1;16;6;9650000.0;косметический;несколько;лоджия;2004;1.0;кирпичный;открытая во дворе;р-н Ленинский;улица Пермская, 124;1;1
1487;1;38.4;7;4;2999000.0;евро;раздельный;лоджия;2007;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Транспортная, 11;1;1
1488;1;34.2;10;9;3050000.0;косметический;раздельный;лоджия;1988;1.0;панельный;открытая во дворе;р-н Индустриальный;проспект Декабристов, 33;0;1
1489;1;18.6;5;3;870000.0;косметический;раздельный;нет;1966;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Сестрорецкая, 19;0;0
1490;1;42.6;25;21;4390000.0;евро;совмещенный;лоджия;2021;2.0;монолитный;подземная;р-н Индустриальный;улица Теплогорская, 24к5;0;0
1491;1;53.9;16;3;4290000.0;косметический;совмещенный;балкон;2007;1.0;кирпичный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Мотовилихинский;улица Пушкарская, 100;1;0
1492;1;35.7;12;2;2950000.0;дизайнерский;совмещенный;лоджия;2007;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Ивана Франко, 44;1;1
1493;3;37.0;5;1;2650000.0;евро;раздельный;балкон;1983;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Вагонная, 11А;0;0
1494;1;33.0;12;4;2850000.0;требует ремонта;раздельный;балкон;1979;2.0;панельный;открытая во дворе;р-н Индустриальный;улица Карпинского, 87;0;1
1495;3;70.0;4;1;3570000.0;косметический;совмещенный;нет;1957;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Мира, 65;0;0
1496;1;32.7;12;8;3100000.0;косметический;совмещенный;балкон;1979;2.0;панельный;открытая во дворе;р-н Индустриальный;улица Карпинского, 87;0;1
1497;2;68.0;17;12;6150000.0;дизайнерский;совмещенный;лоджия;2015;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Холмогорская, 4В;1;0
1498;;;;;;;;;;;;;;;;
1499;3;60.2;9;8;3800000.0;косметический;раздельный;лоджия;1975;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Суздальская, 3;0;1
1500;1;46.1;17;16;4400000.0;евро;совмещенный;лоджия;2011;1.0;монолитный;подземная, за шлагбаумом во дворе;р-н Индустриальный;улица Танкистов, 9;1;0
1501;2;43.0;13;8;4500000.0;косметический;совмещенный;балкон;2021;2.0;монолитный;подземная, наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Индустриальный;улица Теплогорская, 24к3;1;0
1502;1;42.2;10;3;2849000.0;косметический;раздельный;лоджия;2003;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Ветлужская, 125;0;1
1503;;;;;;;;;;;;;;;;
1504;3;46.9;5;5;2600000.0;требует ремонта;раздельный;балкон;1968;0.0;панельный;открытая во дворе;р-н Свердловский;улица Балхашская, 205;0;0
1505;2;44.3;5;5;1550000.0;требует ремонта;совмещенный;балкон;1967;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Сестрорецкая, 24;0;0
1506;3;64.4;3;1;3700000.0;евро;раздельный;балкон;1979;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Сергея Есенина, 9;0;0
1507;;;;;;;;;;;;;;;;
1508;;;;;;;;;;;;;;;;
1509;2;47.8;18;4;3500000.0;косметический;совмещенный;лоджия;2015;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Красноводская, 15;0;0
1510;2;56.3;19;8;4980000.0;косметический;раздельный;балкон;2013;0.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;р-н Свердловский;улица Чернышевского, 15Г;0;0
1511;2;63.0;10;4;3650000.0;требует ремонта;раздельный;балкон;2007;2.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Иньвенская, 17;0;1
1512;1;34.0;9;5;3100000.0;требует ремонта;совмещенный;лоджия;1975;1.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Карпинского, 57;0;1
1513;1;31.8;5;5;3100000.0;евро;совмещенный;балкон;1964;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица 1-я Красноармейская улица, 41;0;0
1514;1;33.4;17;7;2330000.0;косметический;совмещенный;балкон;2017;2.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Карбышева, 47А;1;0
1515;2;46.7;25;15;6100000.0;дизайнерский;совмещенный;лоджия;2015;2.0;кирпичный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Николая Островского, 93Д;1;0
1516;1;35.0;3;3;3530000.0;дизайнерский;совмещенный;балкон;2013;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица микрорайон, Высоковольтная, 12;0;0
1517;3;74.8;9;8;5000000.0;требует ремонта;раздельный;лоджия;1990;1.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Крупской, 42Б;0;1
1518;;;;;;;;;;;;;;;;
1519;1;36.1;16;7;3450000.0;косметический;совмещенный;лоджия;2016;1.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Веры Засулич, 50;0;1
1520;2;70.2;14;2;3300000.0;косметический;раздельный;балкон;2013;1.0;кирпичный;наземная многоуровневая;р-н Мотовилихинский;улица Постаногова, 3;0;1
1521;;;;;;;;;;;;;;;;
1522;3;69.0;10;3;5300000.0;евро;раздельный;лоджия;2005;1.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;улица Норильская, 13к1;0;0
1523;3;66.1;10;5;3750000.0;дизайнерский;раздельный;лоджия;1992;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Генерала Черняховского, 58;0;1
1524;3;59.9;9;7;3500000.0;требует ремонта;раздельный;лоджия;1971;1.0;панельный;открытая во дворе;р-н Индустриальный;улица Архитектора Свиязева, 38;0;1
1525;1;47.6;9;3;4630000.0;евро;совмещенный;лоджия;2001;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Революции, 7;0;0
1526;;;;;;;;;;;;;;;;
1527;2;42.0;5;5;1850000.0;косметический;совмещенный;балкон;1964;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Химградская, 11;0;0
1528;3;67.4;9;4;6100000.0;евро;раздельный;лоджия;1988;1.0;панельный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Юрша, 5;0;0
1529;2;46.2;3;3;2500000.0;косметический;совмещенный;балкон;1968;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Гарцовская, 52;0;0
1530;3;75.4;10;10;5850000.0;косметический;раздельный;лоджия;2004;1.0;панельный;за шлагбаумом во дворе;р-н Дзержинский;улица Желябова, 3;1;0
1531;4;143.0;6;1;12500000.0;евро;совмещенный;лоджия;1999;1.0;кирпичный;подземная, за шлагбаумом во дворе, открытая во дворе;р-н Кировский;улица Кировоградская, 40;1;1
1532;2;54.4;12;3;4300000.0;требует ремонта;раздельный;лоджия;1989;2.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Советской Армии, 45;1;1
1533;4;61.3;5;2;3100000.0;косметический;раздельный;балкон;1971;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Волховская, 36;0;0
1534;3;134.4;18;13;11300000.0;евро;совмещенный;лоджия;2005;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Пушкина, 109;1;0
1535;2;45.0;5;5;2750000.0;косметический;раздельный;балкон;1969;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Холмогорская, 9;0;0
1536;2;36.7;16;4;2865000.0;евро;совмещенный;нет;2020;3.0;кирпичный;открытая во дворе;р-н Свердловский;улица Куйбышева, 109А;1;0
1537;4;85.0;10;9;4800000.0;косметический;раздельный;балкон;1993;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Уинская, 4;0;1
1538;1;30.6;4;3;2820000.0;косметический;совмещенный;балкон;2014;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Веры Фигнер, 13;0;0
1539;1;43.5;23;22;4080000.0;косметический;совмещенный;лоджия;2021;3.0;монолитный;подземная;р-н Индустриальный;улица Комбайнёров, 43;1;0
1540;;;;;;;;;;;;;;;;
1541;2;45.5;5;5;2490000.0;требует ремонта;совмещенный;балкон;1965;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Вагонная, 7;0;0
1542;3;76.0;16;14;5500000.0;косметический;раздельный;балкон;2016;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Целинная, 49;0;0
1543;3;53.5;25;15;7150000.0;дизайнерский;раздельный;балкон;2018;2.0;монолитный;за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Подлесная, 2;1;0
1544;3;78.0;19;3;6150000.0;косметический;раздельный;лоджия;2020;1.0;монолитный;наземная многоуровневая, открытая во дворе;р-н Свердловский;улица Василия Татищева, 8;0;0
1545;2;65.7;2;1;3100000.0;дизайнерский;совмещенный;нет;2008;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Январская, 2А;0;0
1546;3;59.5;5;1;3000000.0;косметический;раздельный;нет;1989;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Костычева, 21;0;0
1547;1;38.6;10;9;2850000.0;косметический;раздельный;лоджия;2005;1.0;панельный;за шлагбаумом во дворе;р-н Кировский;улица Сокольская, 18;0;1
1548;1;36.0;17;16;2350000.0;требует ремонта;совмещенный;лоджия;2016;1.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Кировский;улица Калинина, 64А;0;1
1549;2;44.3;5;1;2050000.0;косметический;раздельный;нет;1976;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Вильямса, 45;0;0
1550;;;;;;;;;;;;;;;;
1551;3;59.2;9;2;2850000.0;косметический;раздельный;лоджия;1976;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Кабельщиков, 95;0;1
1552;3;75.0;19;3;5100000.0;косметический;раздельный;лоджия;2017;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Самаркандская, 143;0;0
1553;1;40.0;17;2;3850000.0;евро;совмещенный;лоджия;2020;1.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Плеханова, 65;1;0
1554;2;75.0;18;7;7500000.0;евро;совмещенный;лоджия;2011;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Дзержинский;улица Малкова, 24А;1;0
1555;3;126.0;2;2;3600000.0;косметический;раздельный;балкон;1982;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Химградская, 5;0;0
1556;3;75.0;17;16;5450000.0;косметический;несколько;лоджия;2011;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Холмогорская, 2Е;1;0
1557;3;46.0;5;5;2360000.0;дизайнерский;раздельный;лоджия;1978;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Бумажников, 20;0;0
1558;1;25.0;24;9;1900000.0;евро;совмещенный;лоджия;2018;2.0;монолитный;открытая во дворе;р-н Орджоникидзевский;улица Вильямса, 51А;1;0
1559;1;42.0;10;6;2900000.0;требует ремонта;раздельный;лоджия;2014;2.0;панельный;за шлагбаумом во дворе;р-н Кировский;улица Адмирала Ушакова, 21;1;0
1560;3;94.6;10;2;8450000.0;евро;несколько;лоджия;2003;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Мотовилихинский;улица Уинская, 9;1;0
1561;1;29.0;3;2;1800000.0;косметический;совмещенный;балкон;1962;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица ДОС, 1;0;0
1562;;;;;;;;;;;;;;;;
1563;3;106.6;8;3;5390000.0;дизайнерский;несколько;лоджия;2001;1.0;кирпичный;подземная;р-н Кировский;улица Маршала Рыбалко, 12А;0;0
1564;3;106.6;8;3;5390000.0;дизайнерский;несколько;лоджия;2001;1.0;кирпичный;подземная;р-н Кировский;улица Маршала Рыбалко, 12А;0;0
1565;2;46.1;10;9;4450000.0;евро;совмещенный;лоджия;2008;1.0;кирпичный;за шлагбаумом во дворе;р-н Индустриальный;улица Мира, 8Б;0;0
1566;1;33.5;5;5;930000.0;требует ремонта;совмещенный;балкон;1975;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Водозаборная, 1;0;0
1567;2;44.0;9;4;3350000.0;евро;совмещенный;лоджия;1983;1.0;панельный;открытая во дворе;р-н Свердловский;улица Анвара Гатауллина, 29к1;0;1
1568;3;137.7;16;16;12200000.0;дизайнерский;несколько;лоджия;1999;1.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Попова, 23;0;1
1569;3;88.0;19;12;4850000.0;требует ремонта;совмещенный;лоджия;2020;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Челюскинцев, 23;0;0
1570;1;25.0;5;5;2050000.0;косметический;совмещенный;балкон;1982;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Докучаева, 28;0;0
1571;;;;;;;;;;;;;;;;
1572;2;69.0;16;1;4200000.0;косметический;раздельный;лоджия;2014;1.0;панельный;открытая во дворе;р-н Кировский;улица Оханская, 31;1;1
1573;3;74.8;16;16;5450000.0;дизайнерский;совмещенный;лоджия;1994;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;р-н Индустриальный;улица Мира, 31;1;1
1574;1;53.0;10;10;4280000.0;евро;совмещенный;лоджия;2002;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Уинская, 9;1;0
1575;4;124.5;9;2;11700000.0;дизайнерский;раздельный;лоджия;2002;1.0;кирпичный;наземная многоуровневая;р-н Ленинский;улица Пермская, 161;1;0
1576;;;;;;;;;;;;;;;;
1577;2;67.8;16;5;5700000.0;евро;несколько;лоджия;2013;2.0;кирпичный;за шлагбаумом во дворе;р-н Дзержинский;улица Крисанова, 73А;1;1
1578;2;83.0;10;3;7000000.0;косметический;раздельный;лоджия;2015;1.0;монолитный;открытая во дворе;р-н Мотовилихинский;улица КИМ, 63;0;0
1579;3;70.0;14;8;4990000.0;косметический;раздельный;лоджия;1997;1.0;монолитный;за шлагбаумом во дворе;р-н Индустриальный;улица Космонавта Леонова, 56А;0;1
1580;3;60.8;10;7;3499999.0;требует ремонта;раздельный;лоджия;1991;1.0;кирпичный;наземная многоуровневая;р-н Мотовилихинский;улица Гашкова, 28;0;1
1581;3;100.0;16;15;7499000.0;косметический;раздельный;лоджия;2007;2.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Василия Каменского, 10А;1;1
1582;3;58.8;9;5;4550000.0;косметический;раздельный;лоджия;1985;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Революции, 3/4;0;1
1583;;;;;;;;;;;;;;;;
1584;2;60.3;5;2;3990000.0;евро;совмещенный;балкон;1968;0.0;панельный;открытая во дворе;р-н Дзержинский;улица Грузинская улица, 5;0;0
1585;;;;;;;;;;;;;;;;
1586;1;40.0;5;1;2100000.0;дизайнерский;раздельный;нет;2014;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Кавказская, 24Б;0;0
1587;2;42.3;5;2;3000000.0;косметический;совмещенный;балкон;1966;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;бульвар Гагарина, 64;0;0
1588;;;;;;;;;;;;;;;;
1589;1;54.6;24;1;4950000.0;требует ремонта;совмещенный;лоджия;2021;1.0;монолитный;подземная, открытая во дворе;р-н Ленинский;улица Луначарского, 99;0;0
1590;3;67.8;9;3;3550000.0;косметический;раздельный;лоджия;1989;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Евгения Пермяка, 1;0;0
1591;1;48.0;19;3;5250000.0;требует ремонта;совмещенный;балкон;2021;1.0;монолитный;подземная, за шлагбаумом во дворе;р-н Индустриальный;улица Карпинского, 49А;1;0
1592;3;63.0;9;5;3500000.0;требует ремонта;раздельный;лоджия;1968;1.0;панельный;открытая во дворе;р-н Свердловский;улица Братская, 2/1;0;1
1593;1;37.8;18;3;3450000.0;косметический;совмещенный;лоджия;2020;2.0;монолитный;за шлагбаумом во дворе;р-н Индустриальный;улица Космонавта Леонова, 68Б;1;0
1594;;;;;;;;;;;;;;;;
1595;1;34.7;10;1;1850000.0;косметический;раздельный;нет;1987;1.0;панельный;открытая во дворе;р-н Кировский;улица Генерала Панфилова, 6/1;0;1
1596;3;67.5;9;5;5600000.0;косметический;раздельный;балкон;1991;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Уинская, 8;0;1
1597;1;31.0;3;2;1550000.0;косметический;совмещенный;балкон;1961;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Чебоксарская, 31;0;0
1598;;;;;;;;;;;;;;;;
1599;1;35.0;10;10;2000000.0;косметический;раздельный;лоджия;2006;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Памирская, 32А;0;0
1600;;;;;;;;;;;;;;;;
1601;2;47.3;2;2;2780000.0;евро;совмещенный;нет;1939;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Куйбышева, 70;0;0
1602;1;30.0;5;3;1620000.0;косметический;совмещенный;балкон;1962;0.0;блочный;открытая во дворе;р-н Орджоникидзевский;1-й переулок, 10;0;0
1603;4;123.4;6;4;11800000.0;требует ремонта;раздельный;нет;2020;1.0;монолитный;подземная, за шлагбаумом во дворе;р-н Ленинский;улица Петропавловская, 13А;1;0
1604;4;99.8;10;7;5860000.0;косметический;раздельный;балкон;2014;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Маяковского, 41А;0;0
1605;2;41.8;5;1;2750000.0;косметический;совмещенный;нет;1965;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Льва Шатрова, 22;0;0
1606;;;;;;;;;;;;;;;;
1607;3;60.1;9;7;2850000.0;косметический;раздельный;лоджия;1983;1.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Карбышева, 84;0;1
1608;1;34.5;25;15;3499000.0;косметический;совмещенный;лоджия;2018;2.0;монолитный;открытая во дворе;р-н Дзержинский;улица Крылова, 17;1;0
1609;2;44.7;5;3;2850000.0;косметический;совмещенный;балкон;1959;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Крупской, 35;0;0
1610;2;62.5;24;18;8000000.0;евро;раздельный;балкон;2018;1.0;панельный;подземная, за шлагбаумом во дворе;р-н Дзержинский;улица Локомотивная, 1А;1;0
1611;5;114.0;5;3;6500000.0;косметический;несколько;балкон;1957;0.0;кирпичный;открытая во дворе;р-н Свердловский;улица Чкалова, 44;0;0
1612;1;35.6;14;12;2600000.0;косметический;совмещенный;лоджия;1975;2.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Челюскинцев, 21;0;1
1613;3;80.0;16;4;6730000.0;косметический;раздельный;лоджия;2001;2.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Уинская, 1Б;1;1
1614;3;68.0;9;4;5500000.0;косметический;раздельный;балкон;1989;1.0;панельный;открытая во дворе;р-н Мотовилихинский;улица Юрша, 3А;0;1
1615;1;43.0;16;3;4500000.0;косметический;совмещенный;лоджия;1998;2.0;кирпичный;за шлагбаумом во дворе;р-н Ленинский;улица Пермская, 124;1;0
1616;1;53.0;17;4;3099000.0;евро;совмещенный;балкон;2008;1.0;монолитный;подземная, за шлагбаумом во дворе;р-н Орджоникидзевский;улица Янаульская, 34;1;0
1617;3;62.2;5;5;3650000.0;косметический;раздельный;лоджия;1984;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Калинина, 30А;0;0
1618;2;54.7;5;1;3350000.0;евро;раздельный;нет;1959;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Уральская, 113;0;0
1619;3;87.1;8;3;6750000.0;косметический;раздельный;лоджия;2005;1.0;кирпичный;подземная, наземная многоуровневая, за шлагбаумом во дворе;р-н Мотовилихинский;улица Аркадия Гайдара, 3;0;0
1620;3;62.0;5;5;3420000.0;евро;совмещенный;балкон;1973;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Чердынская, 20;0;0
1621;3;93.4;5;1;3690000.0;требует ремонта;раздельный;балкон;2007;0.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;улица Менжинского, 32;0;0
1622;3;57.8;12;10;5400000.0;евро;раздельный;лоджия;1972;2.0;кирпичный;открытая во дворе;р-н Ленинский;улица Петропавловская, 85;0;1
1623;2;61.1;3;2;2700000.0;евро;совмещенный;нет;1959;0.0;блочный;открытая во дворе;р-н Кировский;улица Федосеева, 13;0;0
1624;3;110.0;20;19;8500000.0;дизайнерский;несколько;лоджия;2014;1.0;кирпичный;за шлагбаумом во дворе;р-н Свердловский;улица Самаркандская, 145;1;0
1625;3;101.0;10;7;3200000.0;косметический;раздельный;балкон;1993;1.0;кирпичный;открытая во дворе;р-н Орджоникидзевский;1-й Еловский переулок, 24;0;1
1626;3;66.0;10;2;3950000.0;косметический;раздельный;лоджия;1994;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Заречная, 162;0;1
1627;2;54.0;4;2;5999900.0;евро;раздельный;нет;1975;0.0;кирпичный;за шлагбаумом во дворе, открытая во дворе;р-н Дзержинский;улица Ленина, 67;0;0
1628;2;76.5;10;5;6300000.0;косметический;совмещенный;лоджия;2000;1.0;кирпичный;подземная, за шлагбаумом во дворе;р-н Дзержинский;улица Плеханова, 12;0;0
1629;6;207.1;4;4;3900000.0;косметический;совмещенный;нет;1983;0.0;блочный;за шлагбаумом во дворе;р-н Свердловский;улица Коломенская, 61;0;0
1630;3;70.2;19;9;6700000.0;косметический;несколько;балкон;2014;2.0;монолитный;за шлагбаумом во дворе;р-н Дзержинский;улица Рабочая, 9А;1;0
1631;2;76.2;19;11;4950000.0;косметический;раздельный;лоджия;2014;1.0;монолитный;за шлагбаумом во дворе;р-н Свердловский;улица Самаркандская, 147;0;0
1632;1;44.5;25;4;3980000.0;косметический;совмещенный;лоджия;2019;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Героев Хасана, 11Б;1;0
