;number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;street;concierge;garbage chute
163;1;35.0;25;5;3700000.0;евро;совмещенный;лоджия;2021;2.0;монолитный;наземная многоуровневая, за шлагбаумом во дворе;р-н Индустриальный;улица Карпинского, 14;1;0
164;4;80.7;16;4;5500000.0;требует ремонта;раздельный;балкон;1989;1.0;панельный;за шлагбаумом во дворе, открытая во дворе;р-н Свердловский;улица Куйбышева, 99;1;0
165;1;31.0;5;1;2390000.0;косметический;совмещенный;нет;1963;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Баумана, 21А;0;0
166;2;47.0;9;7;3200000.0;требует ремонта;совмещенный;лоджия;1985;1.0;кирпичный;открытая во дворе;р-н Свердловский;улица Гусарова, 7;0;1
167;2;49.2;9;9;2900000.0;косметический;раздельный;лоджия;1979;1.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Ветлужская, 58;0;1
168;1;17.0;5;5;1320000.0;дизайнерский;совмещенный;нет;1969;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Стахановская, 49А;0;0
169;;;;;;;;;;;;;;;;
170;1;35.0;6;4;2800000.0;косметический;совмещенный;балкон;2016;1.0;кирпичный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Лядовская, 127А;0;0
171;2;46.2;5;1;3499000.0;евро;раздельный;балкон;1971;0.0;панельный;открытая во дворе;р-н Индустриальный;улица Чердынская, 8;0;0
172;3;94.0;25;22;7990000.0;дизайнерский;несколько;балкон;2012;2.0;монолитный;за шлагбаумом во дворе;р-н Индустриальный;улица Космонавта Беляева, 40В;1;0
173;1;38.4;7;4;2999000.0;евро;раздельный;лоджия;2007;1.0;панельный;открытая во дворе;р-н Дзержинский;улица Транспортная, 11;1;1
174;4;122.0;9;2;6500000.0;косметический;несколько;лоджия;2001;1.0;панельный;за шлагбаумом во дворе;р-н Кировский;улица Капитанская, 12;1;1
175;2;45.0;5;5;2200000.0;евро;совмещенный;балкон;1978;0.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Уссурийская, 19;0;0
176;3;56.0;3;1;2350000.0;евро;совмещенный;балкон;1961;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Фадеева, 10;0;0
177;1;38.4;10;7;3790000.0;евро;раздельный;лоджия;2006;0.0;панельный;за шлагбаумом во дворе;р-н Индустриальный;шоссеКосмонавтов, 166А;0;0
178;1;29.7;5;1;2200000.0;косметический;совмещенный;нет;1973;0.0;кирпичный;открытая во дворе;р-н Мотовилихинский;улица Макаренко, 8;0;0
179;1;29.5;5;5;2050000.0;требует ремонта;раздельный;балкон;1970;0.0;панельный;открытая во дворе;р-н Свердловский;улица Коломенская, 24;0;0
180;2;44.0;9;9;3970000.0;косметический;раздельный;балкон;1976;1.0;панельный;за шлагбаумом во дворе;р-н Ленинский;улица Пушкина, 23;0;1
181;2;43.4;5;2;1690000.0;косметический;совмещенный;нет;1962;0.0;панельный;открытая во дворе;р-н Кировский;улица Победы, 35;0;0
182;2;67.0;2;2;3200000.0;евро;совмещенный;нет;1954;0.0;кирпичный;открытая во дворе;р-н Индустриальный;улица Нефтяников, 15;0;0
183;;;;;;;;;;;;;;;;
184;1;42.0;16;16;3550000.0;косметический;раздельный;балкон;2010;1.0;панельный;за шлагбаумом во дворе;р-н Мотовилихинский;улица Макаренко, 12А;0;0
185;2;52.6;10;4;3200000.0;косметический;раздельный;балкон;2012;2.0;панельный;открытая во дворе;р-н Орджоникидзевский;улица Уссурийская, 27А;0;0
186;2;50.1;5;2;2950000.0;косметический;раздельный;лоджия;1980;0.0;кирпичный;открытая во дворе;р-н Дзержинский;улица Хабаровская, 44;0;0
187;2;42.3;5;1;2100000.0;требует ремонта;совмещенный;нет;1960;0.0;кирпичный;открытая во дворе;р-н Кировский;улица Липатова, 13;0;0
