number of rooms;area of apartment;number of floors;apartment floor;year of construction;elevator;concierge;garbage chute;repair_дизайнерский;repair_евро;repair_косметический;repair_требует ремонта;bathroom_несколько;bathroom_раздельный;bathroom_совмещенный;terrace_балкон;terrace_лоджия;terrace_нет;type of house_блочный;type of house_деревянный;type of house_кирпичный;type of house_монолитный;type of house_панельный;district_Дзержинский;district_Индустриальный;district_Кировский;district_Ленинский;district_Мотовилихинский;district_Орджоникидзевский;district_Свердловский;lat;lon;edu;health;culture;eat;distance;price
1.0;12.0;5.0;1.0;1980.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.958187;56.238377;15.0;20.0;3.0;119.0;5837.16;400000.0
1.0;33.4;5.0;5.0;1964.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;58.004814;56.292828;55.0;30.0;8.0;325.0;3787.45;2750000.0
3.0;50.4;5.0;1.0;1971.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;58.003414;56.30876;51.0;27.0;6.0;285.0;4739.23;3400000.0
1.0;26.0;16.0;4.0;2020.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;57.984913;56.24518;59.0;42.0;11.0;387.0;2988.6;1900000.0
2.0;45.0;5.0;1.0;1976.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.102608;56.2997;3.0;4.0;2.0;12.0;11052.07;2350000.0
3.0;60.1;9.0;4.0;1983.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.10975;56.284077;3.0;3.0;2.0;11.0;11502.24;2760000.0
3.0;67.8;9.0;3.0;1989.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;58.05483;56.351776;9.0;2.0;0.0;13.0;8732.29;3550000.0
1.0;36.0;9.0;8.0;1990.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;58.033257;56.32043;42.0;15.0;1.0;114.0;5929.42;2450000.0
2.0;70.0;25.0;10.0;2018.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.010853;56.201214;42.0;35.0;11.0;359.0;1663.99;6050000.0
3.0;68.4;10.0;2.0;1989.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;58.004925;56.260742;63.0;37.0;10.0;378.0;1944.31;5600000.0
1.0;42.0;16.0;10.0;2011.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;58.12688;56.388428;5.0;4.0;1.0;6.0;15973.89;1860000.0
1.0;30.5;5.0;5.0;1965.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;58.001675;56.23302;61.0;42.0;11.0;393.0;999.08;2400000.0
1.0;32.0;5.0;5.0;1969.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.99529;56.19467;41.0;39.0;11.0;354.0;2654.34;2600000.0
1.0;30.0;5.0;5.0;1970.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;58.012554;56.297638;53.0;27.0;8.0;297.0;4025.01;2550000.0
3.0;68.2;9.0;5.0;1983.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;57.995316;56.13722;12.0;17.0;5.0;112.0;5690.3;4800000.0
