number of rooms;area of apartment;number of floors;apartment floor;price;repair;bathroom;terrace;year of construction;elevator;type of house;parking;district;full address;concierge;garbage chute
2;44.0;5;2;2890000.0;косметический;раздельный;балкон;1969;0.0;панельный;;Свердловский;Пермский край, Пермь, Тбилисская ул., 13;0;0
1;40.1;16;16;2450000.0;косметический;совмещенный;балкон;2014;1.0;монолитный;открытая во дворе;Орджоникидзевский;Пермский край, Пермь, Янаульская ул., 18;1;0
2;43.7;5;3;2998154.0;косметический;раздельный;балкон;1969;0.0;кирпичный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Добролюбова, 20;0;0
3;66.4;9;2;3200000.0;требует ремонта;раздельный;балкон;1987;1.0;панельный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, ул. Зенкова, 8;0;1
1;43.0;16;5;2780000.0;косметический;раздельный;балкон;2010;1.0;панельный;;Мотовилихинский;Пермский край, Пермь, Целинная ул., 55;0;0
3;60.4;9;2;4150000.0;косметический;совмещенный;лоджия;1979;1.0;панельный;открытая во дворе;Свердловский;Пермский край, Пермь, ул. Яблочкова, 23Б;0;1
3;62.3;5;5;4200000.0;евро;совмещенный;балкон;1969;0.0;кирпичный;за шлагбаумом во дворе;Дзержинский;Пермский край, Пермь, Рабочая ул., 3;0;0
1;42.8;23;13;4500000.0;евро;совмещенный;лоджия;2012;2.0;монолитный;за шлагбаумом во дворе;Дзержинский;Пермский край, Пермь, ул. Татьяны Барамзиной, 54;1;0
2;45.0;5;2;2800000.0;требует ремонта;совмещенный;нет;1975;0.0;кирпичный;открытая во дворе;Свердловский;Пермский край, Пермь, Запорожская ул., 5;0;0
2;43.5;5;2;3500000.0;евро;совмещенный;нет;1961;0.0;кирпичный;открытая во дворе;Индустриальный;Пермский край, Пермь, ул. Мира, 51;0;0
1;30.9;5;5;2350000.0;косметический;совмещенный;балкон;1963;0.0;кирпичный;;Индустриальный;Пермский край, Пермь, ул. Танкистов, 74;0;0
3;59.9;16;1;5500000.0;евро;совмещенный;лоджия;2020;1.0;монолитный;открытая во дворе;Мотовилихинский;Пермский край, Пермь, Сапфирная ул., 14;0;0
1;30.7;5;4;1949000.0;дизайнерский;совмещенный;балкон;1963;0.0;панельный;открытая во дворе;Дзержинский;Пермский край, Пермь, Хабаровская ул., 159;0;0
2;59.6;10;2;5200000.0;косметический;раздельный;лоджия;2001;1.0;кирпичный;наземная многоуровневая;Свердловский;Пермский край, Пермь, ул. Революции, 8;0;0
