physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;extra;type of house;parking
Пермский край, Пермь, ул. Адмирала Макарова, 23| р-н Кировский;1;42.9 м²;16;13;2300000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_429m_1316et._2185098235;требует ремонта;совмещенный;на улицу;лоджия;2021;1;;монолитный;открытая во дворе
Пермский край, Пермь, Кировоградская ул., 73А| р-н Кировский;1;38 м²;4;1;2080000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_38m_14et._2103810768;дизайнерский;раздельный;на улицу;нет;1958;;газоснабжение;панельный;открытая во дворе
ул. Александра Турчевича, д. 8| р-н Свердловский;2;56.7 м²;19;1;3780000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_567m_119et._2204067036;;совмещенный;;лоджия;;1;;монолитный;наземная многоуровневая
Пермский край, Пермь, Самолётная ул., 62| р-н Индустриальный;1;29.7 м²;9;7;2300000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_297m_79et._2174793880;;совмещенный;во двор;балкон;1981;1;газоснабжение;панельный;открытая во дворе
ул. Карла Модераха, д. 8| р-н Свердловский;3;74.9 м²;25;7;5468000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_749m_725et._2137626523;;раздельный;на улицу;лоджия;;1;;монолитный;подземная, открытая во дворе
ул. Сибирская, д. 35| р-н Свердловский;1;53.4 м²;5;5;6141000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_534m_55et._2117930104;;;на улицу;нет;;1;;монолитный;подземная
ул. Кустовая, д. 2А| р-н Свердловский;3;77.5 м²;25;11;4960000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_775m_1125et._2216786728;;раздельный;на улицу;балкон;;2;;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Каляева, 20| р-н Кировский;4;102.4 м²;10;9;6200000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_1024m_910et._2172700275;дизайнерский;раздельный;на улицу, во двор;лоджия;2003;1;консьерж, газоснабжение;панельный;за шлагбаумом во дворе
с. Фролы, ул. Весенняя, д. 38, корп. 2;3;81.8 м²;9;8;4740890;https://www.avito.ru/perm/kvartiry/3-k._kvartira_818m_89et._1747159335;;раздельный;на улицу, во двор;балкон;;;;панельный;открытая во дворе
ул. Кустовая, д. 2А| р-н Свердловский;2;61.8 м²;25;11;3955200;https://www.avito.ru/perm/kvartiry/2-k._kvartira_618m_1125et._2216203886;;совмещенный;на улицу;балкон;;2;;монолитный;за шлагбаумом во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;3;68.6 м²;12;9;4165234;https://www.avito.ru/perm/kvartiry/3-k._kvartira_686m_912et._2099519349;;раздельный;на улицу, во двор;лоджия;;1;;панельный;подземная, открытая во дворе
Пермский край, Пермь, ул. Сталеваров, 9| р-н Индустриальный;2;46 м²;1;1;1200000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_46m_11et._2174745010;требует ремонта;совмещенный;во двор;нет;1987;0;;деревянный;
Пермский край, Пермь, Автозаводская ул., 25| р-н Кировский;3;62.9 м²;9;7;4500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_629m_79et._1981217208;;;;балкон;;;;панельный;
Пермский край, Пермь, ул. Карпинского, 14| р-н Индустриальный;1;37.6 м²;20;17;3750000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_376m_1720et._2181600588;косметический;совмещенный;во двор;лоджия;2020;3;консьерж;монолитный;за шлагбаумом во дворе, открытая во дворе
ул. Уфимская, д. 10а| р-н Свердловский;1;41 м²;20;18;4500000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_41m_1820et._2184578398;;совмещенный;на улицу;лоджия;;0;;монолитный;открытая во дворе
Пермский край, Пермь, ул. Косякова, 16| р-н Орджоникидзевский;3;80.7 м²;17;1;3505400;https://www.avito.ru/perm/kvartiry/3-k._kvartira_807m_117et._2134408144;;;;нет;2017;2;;кирпичный;
ул. Строителей, д. 37а| р-н Дзержинский;2;48.8 м²;25;12;3950000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_488m_1225et._2184266442;;;;лоджия;;2;;монолитный;за шлагбаумом во дворе, открытая во дворе
ул. Адмирала Макарова, д. 23| р-н Кировский;3;97 м²;16;11;4500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_97m_1116et._1091809154;;несколько;;лоджия;;;;монолитный;
Пермский край, Пермь, ул. Чернышевского, 15В| р-н Свердловский;3;137.7 м²;25;9;15450000;https://www.avito.ru/perm/kvartiry/3-k_kvartira_137.7_m_925_et._1989765219;;;на улицу, во двор;лоджия;;;;монолитный;
ул. Яблочкова, д. 3| р-н Свердловский;2;64 м²;17;8;3750000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_64m_817et._2201392456;;раздельный;на улицу;лоджия;;1;;панельный;за шлагбаумом во дворе
с. Фролы, ул. Весенняя, д. 38, корп. 2;1;40.7 м²;9;7;2607360;https://www.avito.ru/perm/kvartiry/1-k._kvartira_407m_79et._1747147511;;совмещенный;во двор;балкон;;;;панельный;открытая во дворе
Пермский край, Пермь, ул. Куйбышева, 109А| р-н Свердловский;1;28 м²;16;15;2500000;https://www.avito.ru/perm/kvartiry/1-k._apartamenty_28_m_1516_et._2229451870;;;;балкон;;;;кирпичный;
Пермский край, Пермь, ул. Маршала Рыбалко, 95| р-н Кировский;3;57 м²;5;4;3300000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_57m_45et._2183969093;косметический;совмещенный;на улицу, во двор;балкон;;;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Вильямса, 16| р-н Орджоникидзевский;3;64 м²;9;2;3650000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_64m_29et._2184082014;;совмещенный;на улицу, во двор;лоджия;;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
ул. Карпинского, д. 50| р-н Индустриальный;1;34 м²;8;4;3700000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_48et._2152070651;;совмещенный;;лоджия;;1;;монолитный;наземная многоуровневая
Пермский край, Пермь, Братская ул., 2/2| р-н Свердловский;1;35 м²;9;4;2600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_35m_49et._2200587411;требует ремонта;;на улицу;лоджия;;;мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, Лядовская ул., 125| р-н Мотовилихинский;1;37.1 м²;6;4;2850000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_371m_46et._2210971728;;совмещенный;;балкон;;1;газоснабжение;кирпичный;за шлагбаумом во дворе
ул. Стахановская, д. 52А| р-н Индустриальный;1;40 м²;25;3;3200000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_40m_325et._2192046869;;совмещенный;во двор;лоджия;;;;монолитный;подземная
Пермский край, Пермь, ул. Николая Островского, 52| р-н Свердловский;1;40.8 м²;24;7;4189000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_408_m_724_et._2148364326;;;;лоджия;;;;монолитный;
Пермский край, Пермь, Екатерининская ул., 119| р-н Ленинский;1;37.5 м²;10;5;3400000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_375m_510et._2168923510;;совмещенный;;лоджия;1988;1;;кирпичный;открытая во дворе
ул. Татьяны Барамзиной, д. 38| р-н Дзержинский;1;40.6 м²;25;2;3491600;https://www.avito.ru/perm/kvartiry/1-k._kvartira_406m_225et._2059634227;;совмещенный;;лоджия;;4;;монолитный;подземная, открытая во дворе
Пермский край, Пермь, ул. Дружбы, 16| р-н Мотовилихинский;3;42 м²;5;4;3750000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_42m_45et._2195879690;косметический;раздельный;на улицу;нет;1960;;;кирпичный;открытая во дворе
ул. Молдавская, д. 10а| р-н Орджоникидзевский;2;60 м²;10;2;3000000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_60m_210et._2205671119;;раздельный;на улицу, во двор;лоджия;;1;;панельный;открытая во дворе
Пермский край, Пермь, 1-я Ипподромная ул., 5| р-н Индустриальный;2;50.2 м²;16;6;4500000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_502_m_616_et._2157010159;;;;лоджия;2012;;;кирпичный;
Пермский край, Пермь, Молдавская ул., 6Б| р-н Орджоникидзевский;2;54.9 м²;9;7;2800000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_549m_79et._2200792181;требует ремонта;раздельный;на улицу;лоджия;1988;1;мусоропровод, газоснабжение;панельный;за шлагбаумом во дворе
Пермский край, Пермь, Оханская ул., 29| р-н Кировский;студия;25 м²;25;17;2380000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_25_m_1725_et._1860247135;;;;нет;;;;монолитный;
Пермский край, Пермь, ул. Крылова, 17| р-н Дзержинский;своб. планировка;32 м²;25;9;3000000;https://www.avito.ru/perm/kvartiry/svob._planirovka_32m_925et._2185404604;косметический;совмещенный;во двор;балкон;2019;1;;монолитный;за шлагбаумом во дворе, открытая во дворе
Пермский край, Пермь, Батумская ул., 8| р-н Кировский;студия;29.6 м²;16;1;2200000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_296m_116et._1086181641;косметический;совмещенный;на улицу;лоджия;;;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Пушкина, 7| р-н Ленинский;3;63 м²;9;2;6300000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_63m_29et._2205490617;косметический;раздельный;на улицу, во двор;балкон;1973;1;мусоропровод, газоснабжение;панельный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Толмачёва, 17| р-н Дзержинский;1;40.3 м²;16;10;3800000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_403m_1016et._2200597403;евро;совмещенный;;балкон;2001;1;консьерж, мусоропровод;панельный;наземная многоуровневая, за шлагбаумом во дворе, открытая во дворе
Пермский край, Пермь, Рабоче-Крестьянская ул., 32| р-н Свердловский;1;45 м²;10;2;4000000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_45m_210et._2189119414;;;;лоджия;2006;1;консьерж;кирпичный;подземная, за шлагбаумом во дворе
ул. Сапфирная, д. 10| р-н Мотовилихинский;1;36.1 м²;16;2;3350000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_361m_216et._2185582069;;совмещенный;на улицу;нет;;1;;монолитный;
Пермский край, Пермь, Кировский район, ул. ДОС, 59| р-н Кировский;2;37.6 м²;5;3;1990000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_376m_35et._2182392238;;совмещенный;;балкон;;0;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Куйбышева, 97| р-н Свердловский;3;140 м²;9;5;9900000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_140_m59_et._2080563784;требует ремонта;несколько;;лоджия;;0;газоснабжение;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Архитектора Свиязева, 44| р-н Индустриальный;3;62.1 м²;12;10;4450000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_621m_1012et._2231786078;требует ремонта;раздельный;;лоджия;;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Адмирала Ушакова, 32| р-н Кировский;1;54.5 м²;17;12;4000000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_545m_1217et._2227000096;косметический;совмещенный;на улицу;лоджия;2007;;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Овчинникова, 15А| р-н Дзержинский;3;61 м²;16;5;5300000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_61_m_516_et._2183252987;;;;лоджия;2021;1;;панельный;
Пермский край, Пермь, ул. Лукоянова, 8| р-н Свердловский;студия;12 м²;5;1;400000;https://www.avito.ru/perm/kvartiry/apartamenty-studiya_12m_15et._2182643451;косметический;совмещенный;во двор;нет;1980;0;;кирпичный;открытая во дворе
Пермский край, Пермь, Кировоградская ул., 6| р-н Кировский;3;117 м²;10;10;7200000;https://www.avito.ru/perm/kvartiry/3-k_kvartira_117_m_1010_et._2020945170;;;на улицу, во двор;лоджия;;;;кирпичный;
ул. Сапфирная, д. 15| р-н Мотовилихинский;2;37.2 м²;9;5;3308800;https://www.avito.ru/perm/kvartiry/2-k._kvartira_372m_59et._2217191935;;совмещенный;во двор;нет;;1;;монолитный;
Пермский край, Пермь, ул. Охотников, 16| р-н Кировский;2;45 м²;2;1;1850000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_45m_12et._2205551411;;раздельный;во двор;нет;;;газоснабжение;кирпичный;
Пермский край, Пермь, ул. Восстания, 13| р-н Мотовилихинский;3;64 м²;10;3;3550000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_64m_310et._2210653595;требует ремонта;раздельный;на улицу;балкон;1993;1;мусоропровод, газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Челюскинцев, 23| р-н Дзержинский;1;41.1 м²;19;12;3600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_411m_1219et._2165117406;евро;совмещенный;на улицу;лоджия;2018;1;;кирпичный;наземная многоуровневая, открытая во дворе
ул. Екатерининская, д. 27| р-н Ленинский;4;98.4 м²;6;2;10375925;https://www.avito.ru/perm/kvartiry/4-k._kvartira_984m_26et._1915185544;;;;балкон;;;;монолитный;
ул. Водников, д. 59| р-н Кировский;1;37.7 м²;4;1;2414720;https://www.avito.ru/perm/kvartiry/1-k._kvartira_377m_14et._2118441023;;;;балкон;;0;;кирпичный;
Пермский край, Пермь, ул. Героев Хасана, 157| р-н Свердловский;2;54 м²;5;3;2900000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_54m_35et._2181424034;косметический;;;балкон;1993;;;кирпичный;
ул. Карпинского, д. 50| р-н Индустриальный;2;53.3 м²;25;11;4952500;https://www.avito.ru/perm/kvartiry/2-k._kvartira_533_m1125_et._1264677809;;;;лоджия;;;;монолитный;подземная, наземная многоуровневая, за шлагбаумом во дворе
Пермский край, Пермь, Домостроительная ул., 6| р-н Орджоникидзевский;1;34 м²;3;3;2580000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_33et._2141275762;косметический;совмещенный;на улицу;балкон;2016;;газоснабжение;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, Холмогорская ул., 4В| р-н Свердловский;1;39 м²;17;13;3700000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_39m_1317et._2180956973;косметический;совмещенный;во двор;лоджия;2012;1;консьерж;кирпичный;за шлагбаумом во дворе
ул. Муромская, д. 24А| р-н Свердловский;студия;24.4 м²;25 эт.;20;1850000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_244m_2025et._2221550552;;совмещенный;во двор;балкон;;1;;монолитный;
ул. Теплогорская, д. 24| р-н Индустриальный;2;44.2 м²;20;2;3850000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_442m_220et._2185207694;;совмещенный;во двор;балкон;;2;;монолитный;подземная, открытая во дворе
Пермский край, Пермь, ул. Льва Толстого, 2| р-н Индустриальный;1;37 м²;9;8;3500000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_37m_89et._2189651073;косметический;совмещенный;во двор;лоджия;2013;1;консьерж;кирпичный;открытая во дворе
ул. Карбышева, д. 49А| р-н Орджоникидзевский;2;54.1 м²;19;17;3379627;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_1719et._2056677681;;совмещенный;на улицу, во двор;лоджия;;2;;монолитный;за шлагбаумом во дворе
ул. Карбышева, д. 49А| р-н Орджоникидзевский;2;54.1 м²;24;17;3379627;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_1724et._2184023668;;совмещенный;на улицу;балкон;;2;;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Архитектора Свиязева, 40/3| р-н Индустриальный;2;44 м²;5;5;3030000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_55et._2187232742;косметический;совмещенный;во двор;балкон;1971;0;газоснабжение;панельный;открытая во дворе
с. Фролы, ул. Весенняя, д. 38, корп. 2;1;40.7 м²;9;6;2607360;https://www.avito.ru/perm/kvartiry/1-k._kvartira_407m_69et._1747147350;;совмещенный;во двор;балкон;;;;панельный;открытая во дворе
ул. Василия Татищева, д. 8| р-н Свердловский;1;38.8 м²;25;1;3298000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_388m_125et._2204511397;;совмещенный;во двор;лоджия;;1;;монолитный;наземная многоуровневая
Пермский край, Пермь, ул. Александра Щербакова, 47А| р-н Орджоникидзевский;1;54.3 м²;6;2;2650000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_543m_26et._2126634919;косметический;раздельный;на улицу, во двор;лоджия;2003;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Запорожская ул., 17| р-н Свердловский;3;67.3 м²;9;3;4300000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_673m_39et._2159224806;дизайнерский;раздельный;на улицу, во двор;лоджия;1982;1;мусоропровод;панельный;открытая во дворе
ул. Сапфирная, д. 13| р-н Мотовилихинский;3;52.7 м²;16;5;4400000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_527m_516et._2153304442;;совмещенный;на улицу;нет;;1;;монолитный;открытая во дворе
Пермский край, Пермь, Пушкарская ул., 136А| р-н Мотовилихинский;студия;43.1 м²;25;16;3690000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_431m_1625et._2183831387;косметический;совмещенный;на улицу;лоджия;2017;2;консьерж;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Революции, 21А| р-н Свердловский;2;71.7 м²;24;6;9000000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_717m_624et._2235398892;;совмещенный;на улицу;балкон;2011;3;консьерж, мусоропровод, газоснабжение;монолитный;подземная, за шлагбаумом во дворе, открытая во дворе
Пермский край, Пермь, ул. Карбышева, 6| р-н Орджоникидзевский;3;75.8 м²;17;5;4150000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_758m_517et._2155418986;дизайнерский;раздельный;на улицу;балкон;2009;1;консьерж;кирпичный;за шлагбаумом во дворе
ул. Строителей, д. 18а| р-н Дзержинский;2;46.2 м²;25;2;4600000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_462m_225et._2184609327;;;во двор;лоджия;;;;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Чернышевского, 15А| р-н Свердловский;3;82 м²;25;12;8500000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_82m_1225et._2059742296;евро;раздельный;на улицу, во двор;балкон;;2;консьерж, мусоропровод;монолитный;подземная, за шлагбаумом во дворе, открытая во дворе
ул. Сапфирная, д. 15| р-н Мотовилихинский;студия;26 м²;16;6;2457000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_26m_616et._2202007491;;совмещенный;на улицу, во двор;балкон;;1;;монолитный;
Пермский край, Пермь, ул. Окулова, 18| р-н Ленинский;3;128.8 м²;25;20;10304000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_1288m_2025et._1916188536;;;;балкон;;;;монолитный;
Пермский край, Пермь, ул. Кронита, 11| р-н Орджоникидзевский;1;31.1 м²;9;1;2150000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_311m_19et._2215292066;косметический;совмещенный;во двор;лоджия;1994;1;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Кавказская ул., 26| р-н Орджоникидзевский;2;58.2 м²;5;2;3200000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_582m_25et._2121419829;евро;совмещенный;на улицу, во двор;лоджия;2020;0;;панельный;открытая во дворе
Пермский край, Пермь, Коломенская ул., 57| р-н Свердловский;2;71.5 м²;10;7;4400000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_715m_710et._2091404713;косметический;раздельный;на улицу, во двор;лоджия;1999;1;газоснабжение;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, Уфимская ул., 10| р-н Свердловский;2;44 м²;5;3;2850000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_44m_35et._2201690082;косметический;раздельный;на улицу, во двор;балкон;;;газоснабжение;панельный;открытая во дворе
Пермский край, Пермь, ул. Адмирала Ушакова, 32| р-н Кировский;своб. планировка;54.5 м²;17;12;4000000;https://www.avito.ru/perm/kvartiry/svob._planirovka_545m_1217et._2201567263;;совмещенный;;лоджия;2007;1;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, Янаульская ул., 34| р-н Орджоникидзевский;3;94.1 м²;17;14;6100000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_941_m_1417_et._2229052176;;;;лоджия;;;;монолитный;
Пермь, Пушкарская улица, 61| р-н Мотовилихинский;3;48 м²;5;3;3150000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_48m_35et._2149610503;косметический;раздельный;;балкон;1967;;газоснабжение;панельный;открытая во дворе
ул. Карпинского, д. 50| р-н Индустриальный;3;78.1 м²;12;2;6253000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_781m_212et._2220522959;;;;лоджия;;;;монолитный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, Буксирная ул., 8| р-н Кировский;1;27.4 м²;9;4;1870000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_274_m_49_et._2210338235;;;;балкон;;;;кирпичный;
Пермский край, Пермь, ш. Космонавтов, 215| р-н Индустриальный;4;95 м²;25;10;7700000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_95m_1025et._514758788;;;;лоджия;;;;монолитный;
Пермский край, Пермь, Коммунистическая ул., 2| р-н Свердловский;2;38.6 м²;5;1;460000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_386_m_15_et._2229864035;;;;нет;;;;деревянный;
Пермский край, Пермь, ул. ДОС, 1| р-н Мотовилихинский;2;40.4 м²;3;3;1750000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_404m_33et._2137840083;требует ремонта;совмещенный;во двор;нет;1961;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Ординская ул., 8| р-н Свердловский;4;85.2 м²;10;6;4980000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_852m_610et._2181606949;;;;лоджия;;;;панельный;за шлагбаумом во дворе
ул. Комбайнеров, д. 43| р-н Индустриальный;3;73.6 м²;23;6;7150000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_736m_623et._1754978429;;раздельный;на улицу;лоджия;;3;;монолитный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, Советская ул., 3| р-н Ленинский;3;100 м²;8;2;11500000;https://www.avito.ru/perm/kvartiry/3-k_kvartira_100_m_28_et._1973456622;;;на улицу, во двор;балкон;;;;кирпичный;
Пермский край, Пермь, ул. Косякова, 16| р-н Орджоникидзевский;2;63.1 м²;17;1;3013400;https://www.avito.ru/perm/kvartiry/2-k._kvartira_631m_117et._2134256289;косметический;совмещенный;;нет;2017;2;;кирпичный;
ул. Муромская, д. 24А| р-н Свердловский;2;46.5 м²;25;5;3099000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_465m_525et._2153718116;;раздельный;во двор;лоджия;;3;;монолитный;за шлагбаумом во дворе, открытая во дворе
ул. Екатерининская, д. 27| р-н Ленинский;2;59.9 м²;6;2;5973000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_599m_26et._2156518009;;раздельный;;лоджия;;;;кирпичный;подземная
Пермский край, Пермь, ул. Советской Армии, 44| р-н Индустриальный;своб. планировка;68 м²;4;1;3740000;https://www.avito.ru/perm/kvartiry/svob._planirovka_68m_14et._1941850904;;;;нет;;;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Дениса Давыдова, 17| р-н Индустриальный;2;42 м²;5;5;2850000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_42m_55et._2185250396;косметический;совмещенный;на улицу;балкон;1962;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Революции, 18| р-н Свердловский;3;62.1 м²;9;6;5300000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_621m_69et._2207432789;косметический;раздельный;на улицу, во двор;лоджия;1978;1;мусоропровод, газоснабжение;кирпичный;открытая во дворе
ул. Писарева, д. 29в| р-н Орджоникидзевский;3;97 м²;16;16;7599999;https://www.avito.ru/perm/kvartiry/3-k._kvartira_97_m1616_et._2130327334;;несколько;на улицу, во двор;лоджия;;1;;панельный;открытая во дворе
ул. Маяковского, д. 45| р-н Дзержинский;1;39.2 м²;16;15;3100000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_392m_1516et._2019527831;;совмещенный;на улицу;балкон;;1;;монолитный;открытая во дворе
Пермский край, Пермь, Братская ул., 98А| р-н Свердловский;3;103 м²;3;2;9290000;https://www.avito.ru/perm/kvartiry/3-k._apartamenty_103m_23et._2226843928;;;во двор;лоджия;2017;;консьерж, газоснабжение;монолитный;подземная, открытая во дворе
Пермский край, Пермь, ул. Челюскинцев, 23| р-н Дзержинский;1;45 м²;19;11;3250000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_45m_1119et._2199767796;;;;лоджия;;;;кирпичный;
Пермский край, Пермь, ул. Костычева, 44А| р-н Дзержинский;2;53.8 м²;10;1;3650000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_538m_110et._2209604186;косметический;раздельный;на улицу, во двор;нет;2013;2;мусоропровод;панельный;открытая во дворе
ул. Буксирная, д. 10| р-н Кировский;2;39.6 м²;26;26;3730000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_396m_2626et._2210829020;;совмещенный;на улицу;лоджия;;3;;монолитный;за шлагбаумом во дворе
Пермский край, Пермь, Братская ул., 98А| р-н Свердловский;3;103 м²;3;2;9290000;https://www.avito.ru/perm/kvartiry/3-k._apartamenty_103m_23et._2226843928;;;во двор;лоджия;2017;;консьерж, газоснабжение;монолитный;подземная, открытая во дворе
Пермский край, Пермь, Уинская ул., 43| р-н Мотовилихинский;3;88.6 м²;25;6;5850000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_886_m_625_et._2228909370;;;;балкон;;;;монолитный;
Пермский край, Пермь, Холмогорская ул., 2В| р-н Свердловский;4;80.4 м²;17;17;6600000;https://www.avito.ru/perm/kvartiry/4-k._kvartira_804m_1717et._2067789327;;раздельный;на улицу, во двор;лоджия;2009;1;консьерж;панельный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Адмирала Макарова, 23| р-н Кировский;2;67 м²;16;10;3600000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_67m_1016et._2218567607;;раздельный;на улицу, во двор;лоджия;2021;1;мусоропровод, газоснабжение;монолитный;открытая во дворе
ул. Карла Модераха, д. 8| р-н Свердловский;2;62.7 м²;25;9;4828000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_627m_925et._2136990905;;раздельный;на улицу;лоджия;;1;;монолитный;подземная, открытая во дворе
ул. Гашкова, д. 59| р-н Мотовилихинский;2;46.8 м²;9;6;3121886;https://www.avito.ru/perm/kvartiry/2-k._kvartira_468m_69et._2034936459;;совмещенный;;лоджия;;1;;панельный;
ул. Лукоянова, д. 28а| р-н Свердловский;3;61.2 м²;6;5;4485000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_612_m_56_et._2024580298;;;;;;;;монолитный;
Пермский край, Пермский р-н, пос. Ферма, ул. Строителей, 28;2;55.5 м²;5;4;2800000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_555m_45et._1133850585;;;;лоджия;;;;панельный;
Пермский край, Пермь, ул. Зенкова, 6| р-н Мотовилихинский;1;34 м²;9;9;2850000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_99et._2218067197;косметический;раздельный;;лоджия;;1;мусоропровод, газоснабжение;панельный;открытая во дворе
