physical address;number of rooms;area of apartment;number of floors;apartment floor;price;link;repair;bathroom;view from the windows;terrace;year of construction;elevator;extra;type of house;parking
ул. Гашкова, д. 59| р-н Мотовилихинский;4;84.7 м²;9;8;5099542;https://www.avito.ru/perm/kvartiry/4-k._kvartira_847m_89et._2099881208;;раздельный;на улицу, во двор;балкон;;0;;панельный;подземная, открытая во дворе
Пермский край, Пермь, Норильская ул., 9| р-н Индустриальный;3;64.7 м²;10;6;4350000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_647m_610et._2210272410;косметический;раздельный;на улицу, во двор;балкон;1993;1;мусоропровод, газоснабжение;панельный;за шлагбаумом во дворе
Пермский край, Пермь, Судозаводская ул., 14| р-н Кировский;2;37 м²;3;3;1800000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_37m_33et._2229840336;требует ремонта;совмещенный;на улицу;балкон;1960;;;кирпичный;
Пермский край, Пермь, ул. КИМ, 74А| р-н Мотовилихинский;3;84.3 м²;6;6;6300000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_843m_66et._2098613800;косметический;несколько;на улицу, во двор;балкон;2016;1;консьерж, газоснабжение;кирпичный;за шлагбаумом во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;58.2 м²;10;9;3705067;https://www.avito.ru/perm/kvartiry/2-k._kvartira_582m_910et._2099707179;;раздельный;на улицу;лоджия;;1;;панельный;подземная, открытая во дворе
ул. Гашкова, д. 51, корп. 2| р-н Мотовилихинский;2;54.1 м²;16;3;3201790;https://www.avito.ru/perm/kvartiry/2-k._kvartira_541m_316et._2099704817;;раздельный;на улицу;лоджия;;1;;панельный;подземная, открытая во дворе
ул. Карпинского, д. 49А| р-н Индустриальный;студия;33 м²;20;13;3100000;https://www.avito.ru/perm/kvartiry/kvartira-studiya_33m_1320et._2146482874;;совмещенный;во двор;лоджия;;1;;монолитный;подземная, за шлагбаумом во дворе
ул. Краснофлотская, д. 30Б| р-н Свердловский;1;51.6 м²;19;7;4600000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_516m_719et._2216459062;;совмещенный;на улицу;лоджия;;1;;монолитный;подземная, за шлагбаумом во дворе
Пермский край, Пермь, б-р Гагарина, 58А| р-н Мотовилихинский;1;26.6 м²;5;2;2240000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_266m_25et._2088634666;евро;совмещенный;во двор;нет;;;консьерж;кирпичный;открытая во дворе
Пермский край, Пермь, ул. Малышева, 3| р-н Свердловский;3;60.3 м²;9;1;3900000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_603m_19et._974213721;;;;лоджия;;;;кирпичный;
ул. Татьяны Барамзиной, д. 38| р-н Дзержинский;2;48.6 м²;25;8;3800520;https://www.avito.ru/perm/kvartiry/2-k._kvartira_486m_825et._2203050335;;совмещенный;на улицу;балкон;;2;;кирпичный;подземная
Пермский край, Пермь, ул. Кабельщиков, 93| р-н Орджоникидзевский;3;59.8 м²;5;5;2395000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_598m_55et._2198745549;косметический;раздельный;на улицу, во двор;балкон;1972;;;панельный;открытая во дворе
Пермский край, Пермь, Красногвардейская ул., 2| р-н Мотовилихинский;1;34 м²;7;4;2550000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_34m_47et._2160128173;косметический;совмещенный;на улицу;лоджия;2014;1;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Архитектора Свиязева, 42| р-н Индустриальный;1;31 м²;5;3;2700000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_31m_35et._2187979771;косметический;совмещенный;на улицу;балкон;1971;0;;панельный;открытая во дворе
ул. Гашкова, д. 59| р-н Мотовилихинский;1;42.2 м²;9;4;2750788;https://www.avito.ru/perm/kvartiry/1-k._kvartira_422m_49et._2035114604;;раздельный;;балкон;;1;;панельный;открытая во дворе
Пермский край, Пермь, ш. Космонавтов, 113А| р-н Индустриальный;1;32.9 м²;10;5;2100000;https://www.avito.ru/perm/kvartiry/1-k._kvartira_329m_510et._2152112392;;;во двор;балкон;;1;консьерж;кирпичный;открытая во дворе
Пермский край, Пермь, ул. КИМ, 61| р-н Мотовилихинский;3;80 м²;16;6;5800000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_80m_616et._2154952777;;;;лоджия;;;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ул. Гашкова, 29| р-н Мотовилихинский;3;57.7 м²;9;3;3400000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_577m_39et._2169655403;евро;совмещенный;во двор;балкон;1978;1;мусоропровод, газоснабжение;панельный;открытая во дворе
ул. Николая Островского, д. 52| р-н Свердловский;3;81 м²;20;8;7609000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_81_m_820_et._2158569401;;;;;;;;монолитный;
Пермский край, Пермь, ул. Космонавта Беляева, 33| р-н Индустриальный;2;25 м²;5;5;1990000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_25m_55et._2179367263;;;на улицу;нет;;0;;кирпичный;
ул. Архитектора Свиязева, д. 31| р-н Индустриальный;2;48.1 м²;4;3;3799900;https://www.avito.ru/perm/kvartiry/2-k._kvartira_481m_34et._2184497788;;совмещенный;во двор;нет;;0;;кирпичный;за шлагбаумом во дворе
Пермский край, Пермь, ш. Космонавтов, 215| р-н Индустриальный;3;89.1 м²;25;3;6990000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_891m_325et._2121440527;евро;раздельный;на улицу, во двор;лоджия;2010;2;консьерж;монолитный;наземная многоуровневая, за шлагбаумом во дворе
Пермский край, Пермь, Корсуньская ул., 29| р-н Орджоникидзевский;2;46.2 м²;5;2;1650000;https://www.avito.ru/perm/kvartiry/2-k._kvartira_462m_25et._2231966972;требует ремонта;совмещенный;на улицу;нет;1962;0;газоснабжение;кирпичный;открытая во дворе
Пермский край, Пермь, Сысольская ул., 10/4| р-н Кировский;6;186.6 м²;10;10;9500000;https://www.avito.ru/perm/kvartiry/6-k._kvartira_1866m_1010et._2172364058;дизайнерский;несколько;;лоджия;1995;1;;панельный;за шлагбаумом во дворе
Пермский край, Пермь, Стахановская ул., 42| р-н Индустриальный;3;60.5 м²;5;4;3650000;https://www.avito.ru/perm/kvartiry/3-k._kvartira_605_m_45_et._2218602302;;;;балкон;;;;панельный;
