number of rooms;area of apartment;number of floors;apartment floor;price;year of construction;elevator;full address;concierge;garbage chute;repair_дизайнерский;repair_евро;repair_косметический;repair_требует ремонта;bathroom_несколько;bathroom_раздельный;bathroom_совмещенный;terrace_балкон;terrace_лоджия;terrace_нет;type of house_блочный;type of house_деревянный;type of house_кирпичный;type of house_монолитный;type of house_панельный;district_Дзержинский;district_Индустриальный;district_Кировский;district_Ленинский;district_Мотовилихинский;district_Орджоникидзевский;district_Свердловский;parking_за шлагбаумом во дворе;parking_открытая во дворе;parking_наземная многоуровневая;parking_подземная;lat;lon
1;34.0;7;4;2550000.0;2014;1.0;Пермский край, Пермь, Красногвардейская ул., 2;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.030436;56.32587
2;41.5;5;1;3300000.0;1964;0.0;Пермский край, Пермь, ул. Мира, 122;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.971511;56.159815
2;46.3;25;22;3990000.0;2018;2.0;Пермский край, Пермь, ул. Красные Казармы, 68;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.990853;56.267871
3;42.7;5;3;3100000.0;1966;0.0;Пермский край, Пермь, ул. Советской Армии, 25;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.984223;56.198166
1;43.0;9;6;2200000.0;1997;1.0;Пермский край, Пермь, ул. Луговского, 3;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.114486;56.280649
3;66.8;10;9;4000000.0;1990;2.0;Пермский край, Пермь, Сокольская ул., 10;0;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.036731;56.032824
2;47.0;5;3;2150000.0;1965;0.0;Пермский край, Пермь, Мелитопольская ул., 24;0;0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.114609;56.302031
3;77.9;17;14;4800000.0;2009;1.0;Пермский край, Пермь, ул. Карбышева, 6;1;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.113581;56.319138
2;38.9;5;4;1650000.0;1990;0.0;Пермский край, Пермь, Краснослудская ул., 17;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.109809;56.395829
2;45.0;5;3;3100000.0;1962;0.0;Пермский край, Пермь, ул. Ленина, 78;0;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;58.007045;56.216253
3;53.0;9;2;3700000.0;1974;1.0;Пермский край, Пермь, Чердынская ул., 22;0;1;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.966671;56.186761
4;85.1;9;2;6800000.0;1984;1.0;Пермский край, Пермь, Весёлая ул., 1;0;1;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;58.004261;56.280045
1;45.0;17;5;3280000.0;2009;1.0;Пермский край, Пермь, Новосибирская ул., 13;1;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.96454;56.237333
2;44.4;5;1;2650000.0;1970;0.0;Пермский край, Пермь, ул. Геологов, 1;0;0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.965115;56.175118
2;43.7;5;4;3150000.0;1966;0.0;Пермский край, Пермь, ул. Газеты Звезда, 33;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;58.006908;56.248042
1;31.3;10;4;2100000.0;2018;2.0;Пермский край, Пермь, Ракитная ул., 42;0;0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.090129;56.400995
2;43.7;4;4;1850000.0;1962;0.0;Пермский край, Пермь, ул. Карбышева, 32;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.109891;56.312776
2;42.0;5;5;3050000.0;1959;0.0;Пермский край, Пермь, ул. Баумана, 8;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.987119;56.196269
3;71.0;10;6;7650000.0;2016;1.0;Пермский край, Пермь, Вильвенская ул., 2;0;0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.998198;56.226588
3;60.4;9;9;2800000.0;1983;1.0;Пермский край, Пермь, ул. Карбышева, 82/1;0;1;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.110189;56.281992
1;36.7;6;5;2600000.0;2015;1.0;Пермский край, Пермь, Лядовская ул., 125;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;58.035567;56.357444
2;42.2;5;4;1600000.0;1967;0.0;Пермский край, Пермь, ул. Гремячий Лог, 1;0;0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;58.118767;56.309518
2;41.3;5;2;3799000.0;1960;0.0;Пермский край, Пермь, ул. Героев Хасана, 3;0;0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;57.994418;56.255439
