;address;district;number of floors;apartment floor;number of rooms;area of apartment;bathroom;repair;view from the windows;terrace;garbage chute;type of house;parking;concierge;elevator;link;price
1009; ул. Белинского, 31;р-н Свердловский;18;16.0;2;59.0;совмещенный;дизайнерский;на улицу;балкон;False;монолитный;за шлагбаумом во дворе, открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_59m_1618et._2181382537;6900000.0
1010; ул. Пономарёва, 75;р-н Мотовилихинский;10;8.0;3;68.3;раздельный;дизайнерский;на улицу, во двор;лоджия;True;кирпичный;открытая во дворе;True;False;https://www.avito.ru/perm/kvartiry/3-k._kvartira_683m_810et._2183207273;6950000.0
1011; Делегатская ул., 35Б;р-н Орджоникидзевский;10;8.0;1;46.8;совмещенный;косметический;во двор;балкон;False;панельный;открытая во дворе;False;False;https://www.avito.ru/perm/kvartiry/1-k._kvartira_468m_810et._2219319776;2650000.0
1012; Уинская ул., 35;р-н Мотовилихинский;25;6.0;1;46.0;совмещенный;косметический;на улицу;лоджия;True;монолитный;открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_46m_625et._2221967941;3700000.0
1013; ул. Мира, 100;р-н Индустриальный;17;12.0;3;84.6;несколько;косметический;на улицу, во двор;балкон;False;монолитный;подземная, за шлагбаумом во дворе;True;False;https://www.avito.ru/perm/kvartiry/3-k._kvartira_846m_1217et._2097390965;6400000.0
1014; Уинская ул., 35;р-н Мотовилихинский;25;6.0;1;46.0;совмещенный;косметический;на улицу;лоджия;True;монолитный;открытая во дворе;True;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_46m_625et._2221967941;3700000.0
1015; Янаульская ул., 18;р-н Орджоникидзевский;16;8.0;2;54.5;раздельный;косметический;во двор;лоджия;False;монолитный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_545m_816et._2200457667;3950000.0
1016; Янаульская ул., 18;р-н Орджоникидзевский;16;8.0;2;54.5;раздельный;косметический;во двор;лоджия;False;монолитный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/2-k._kvartira_545m_816et._2200457667;3950000.0
1017; Вижайская ул., 24;р-н Свердловский;9;9.0;1;14.6;совмещенный;косметический;на улицу;нет;True;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/kvartira-studiya_146m_99et._2228238349;1350000.0
1018; Вижайская ул., 24;р-н Свердловский;9;9.0;1;14.6;совмещенный;косметический;на улицу;нет;True;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/kvartira-studiya_146m_99et._2228238349;1350000.0
1019; Вижайская ул., 24;р-н Свердловский;9;9.0;1;14.6;совмещенный;косметический;на улицу;нет;True;панельный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/kvartira-studiya_146m_99et._2228238349;1350000.0
1020; ул. Лебедева, 34;р-н Мотовилихинский;12;11.0;3;100.3;несколько;косметический;на улицу, во двор;лоджия;False;кирпичный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_1003m_1112et._2206452704;8700000.0
1021;ул. Цимлянская, д. 19;р-н Орджоникидзевский;16;3.0;1;34.2;совмещенный;косметический;на улицу;лоджия;False;монолитный;открытая во дворе;False;True;https://www.avito.ru/perm/kvartiry/1-k._kvartira_342m_316et._1864074414;2100000.0
1022;ул. Краснофлотская, д. 30Б;р-н Свердловский;19;1.0;3;78.1;совмещенный;косметический;во двор;лоджия;False;монолитный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_781m_119et._1492268302;6450000.0
1023;ул. Краснофлотская, д. 30Б;р-н Свердловский;19;15.0;3;103.8;несколько;косметический;на улицу;лоджия;False;монолитный;подземная, за шлагбаумом во дворе;False;True;https://www.avito.ru/perm/kvartiry/3-k._kvartira_1038m_1519et._1895998363;9700000.0
